0,Nice one
1,Nice watch for womens. I love Royal blue color so I ordered this from Amazon. this watch is more attractive and stylist retro look. Thanks to Amazon for delivered it faster. 👌😄👌
3,Nice watch & nice colour
4,Super
5,Very nice and stylish watch for kids. The Blue colour strap against golden dial looks good.
6,Its a nice one looks Cool on the wrist of my wify. You can go for it ... must go!!
8,Received the watch in same color as shown in digital. Good watch as per it's price and design. Gifted to my wife. She was happy.
10,I liked this product very muchBut some some colour was goingOnly some places not much more
11,The watch looks best! Its royal blue color is very nice ! Dial is bit big but fits perfectly for the look!Straps are of silicone which make it all season wear! Best Product! Must Buy!
12,same as in the appno alterations in colorextra battery providedsmart & precious looking watchgood buy and price low
13,The watch is pretty and a new battery is included in the parcel so that it works fine.
14,Very nice wath looks briliant . Liked the thing that got a ring free
15,Simply superb
16,This is a fairly good watch at this price. Total value for money.
17,First when I saw the watch it was not working but when I tried to set the time it started working...... It is working good but the product is available at less prize in market
21,Nice design
22,Good to use ....gifted
23,I loved it
26,It's same as shown royal blue and looks so royal
29,Like
30,West
31,Big dile
32,I m very happy with the product.....it reached my expectation ....but if the dial was in silver colour...it would be look better......
33,5 star for Price and product
34,Very beautiful
36,Very beautiful watch
37,Very big
38,Good as expected
39,Very good
40,Good
41,Nice product
43,Great product writing review after 4 month use juat go for it awesome product and look
45,Like this
46,0:200:00This video is not intended for all audiences. What date were you born?JanuaryFebruaryMarchAprilMayJuneJulyAugustSeptemberOctoberNovemberDecember12345678910111213141516171819202122232425262728293031201920182017201620152014201320122011201020092008200720062005200420032002200120001999199819971996199519941993199219911990198919881987198619851984198319821981198019791978197719761975197419731972197119701969196819671966196519641963196219611960195919581957195619551954195319521951195019491948194719461945194419431942194119401939193819371936193519341933193219311930192919281927192619251924192319221921192019191918191719161915191419131912191119101909190819071906190519041903190219011900SubmitAdobe Flash Player is required to watch this video.Install Flash Player This item is useful and warthfull
47,Elegant
50,Exactly as shown in display picture.
52,Good
54,Good watch i present it to my mother and she like it.
